Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,C,
D1,0603,1,LED,
J1,DIP-8_W7.62mm,1,Conn_02x04_Counter_Clockwise,
R1,0603,1,10k,
SW1,THAF01-NC-R,1,SW_Push,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,ATtiny202-SS,
U2,PCB_USB_Conn,1,~,
