Designator,Mid X,Mid Y,Rotation,Layer
0u1_2,116.375,-98.3,0.0,top
0u1,119.6,-95.8,90.0,top
0u1 x3,113.375,-98.3,0.0,top
BSS138 x2,113.8,-95.8,180.0,top
CH340K,114.6,-102.5,90.0,top
J2,122.2,-99.1,0.0,top
Q1,116.9,-95.8,0.0,top
U2,100.0,-100.0,0.0,top
