Designator,Mid X,Mid Y,Rotation,Layer
C1,119.634,-101.727,90.0,top
D1,117.094,-101.727,90.0,top
D2,117.094,-98.171,90.0,top
D3,119.634,-98.171,90.0,top
J1,112.014,-100.0,180.0,top
J2,120.904,-96.2,270.0,top
R1,118.364,-101.727,90.0,top
R2,118.364,-98.298,90.0,top
R3,115.824,-98.298,90.0,top
R4,120.904,-101.727,270.0,top
SW1,113.538,-100.0,90.0,top
U1,117.0432,-100.0,0.0,bottom
